#  BAND   46          
#EF=   0.00000     NDOS= 5     NENRG=  592    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -2.81420    0.13519469    0.00019742    0.00014524    0.00078341    0.00078341
  -2.78699    0.15952089    0.00025682    0.00016243    0.00096321    0.00096321
  -2.75978    0.19843014    0.00033338    0.00018072    0.00118998    0.00118998
  -2.73257    0.26175508    0.00043377    0.00020052    0.00149069    0.00149069
  -2.70536    0.35784337    0.00056651    0.00022243    0.00191127    0.00191127
  -2.67814    0.48678470    0.00073655    0.00024708    0.00251923    0.00251923
  -2.65093    0.63614517    0.00093591    0.00027488    0.00339284    0.00339284
  -2.62372    0.78343213    0.00113795    0.00030601    0.00459688    0.00459688
  -2.59651    0.90518034    0.00130629    0.00034046    0.00615906    0.00615906
  -2.56930    0.98767823    0.00141595    0.00037903    0.00806585    0.00806585
  -2.54209    1.03143394    0.00146847    0.00042282    0.01028088    0.01028088
  -2.51488    1.04691625    0.00148641    0.00047398    0.01277074    0.01277074
  -2.48767    1.04502428    0.00149669    0.00053161    0.01552150    0.01552150
  -2.46045    1.03119946    0.00152028    0.00058668    0.01854376    0.01854376
  -2.43324    1.00533140    0.00157545    0.00062096    0.02187119    0.02187119
  -2.40603    0.96665549    0.00168867    0.00061638    0.02582030    0.02582030
  -2.37882    0.91827023    0.00190077    0.00056956    0.03129248    0.03129248
  -2.35161    0.86709601    0.00229663    0.00049662    0.04062586    0.04062586
  -2.32440    0.82036990    0.00306484    0.00042258    0.05857107    0.05857107
  -2.29719    0.78193742    0.00464609    0.00036669    0.09210487    0.09210487
  -2.26997    0.75189865    0.00795461    0.00033768    0.14776997    0.14776997
  -2.24276    0.72876102    0.01454189    0.00033852    0.22773249    0.22773249
  -2.21555    0.71130061    0.02607701    0.00037250    0.32825482    0.32825482
  -2.18834    0.69949085    0.04343329    0.00044859    0.44318751    0.44318751
  -2.16113    0.69387949    0.06600814    0.00057965    0.56894737    0.56894737
  -2.13392    0.69547004    0.09221566    0.00078413    0.70772475    0.70772475
  -2.10671    0.70436138    0.12079908    0.00107738    0.86527950    0.86527950
  -2.07949    0.71771467    0.15176077    0.00145045    1.04448223    1.04448223
  -2.05228    0.72817290    0.18610063    0.00184657    1.23882878    1.23882878
  -2.02507    0.72499847    0.22457588    0.00216438    1.43070471    1.43070471
  -1.99786    0.69862407    0.26609421    0.00230388    1.59996486    1.59996486
  -1.97065    0.64559060    0.30680922    0.00222491    1.73152542    1.73152542
  -1.94344    0.56995678    0.34190267    0.00196588    1.81140554    1.81140554
  -1.91623    0.48040229    0.36821955    0.00161180    1.81677270    1.81677282
  -1.88901    0.38721240    0.38625661    0.00125289    1.72494245    1.72494245
  -1.86180    0.30090684    0.39995068    0.00096454    1.54194665    1.54194665
  -1.83459    0.23129541    0.41422141    0.00080445    1.32122099    1.32122099
  -1.80738    0.18532452    0.43224457    0.00080950    1.14253306    1.14253306
  -1.78017    0.16423284    0.45341983    0.00098591    1.06803119    1.06803119
  -1.75296    0.16367929    0.47396529    0.00131080    1.11613894    1.11613894
  -1.72575    0.17689349    0.49147236    0.00174966    1.27333510    1.27333510
  -1.69853    0.19797309    0.50885111    0.00227932    1.51470816    1.51470816
  -1.67132    0.22306438    0.53208435    0.00289512    1.81145394    1.81145394
  -1.64411    0.24981606    0.56348616    0.00359636    2.11942434    2.11942434
  -1.61690    0.27665403    0.59807402    0.00436496    2.37619448    2.37619448
  -1.58969    0.30253568    0.62760764    0.00516853    2.52274132    2.52274084
  -1.56248    0.32720882    0.64884877    0.00598850    2.53703833    2.53703833
  -1.53527    0.35097483    0.66658479    0.00684324    2.44569135    2.44569111
  -1.50805    0.37449908    0.68899262    0.00777736    2.30369639    2.30369639
  -1.48084    0.39849117    0.72095799    0.00883134    2.16092801    2.16092801
  -1.45363    0.42351422    0.76117098    0.01002516    2.04368281    2.04368281
  -1.42642    0.44994587    0.80466712    0.01137130    1.95649946    1.95649946
  -1.39921    0.47787428    0.84772414    0.01289509    1.89474332    1.89474332
  -1.37200    0.50734597    0.89051145    0.01465514    1.85190892    1.85190892
  -1.34479    0.53875041    0.93637705    0.01674482    1.82397640    1.82397640
  -1.31758    0.57312679    0.98896933    0.01929110    1.80773568    1.80773568
  -1.29036    0.61199743    1.04988122    0.02249698    1.80030847    1.80030847
  -1.26315    0.65720940    1.11865783    0.02701878    1.79962063    1.79962063
  -1.23594    0.71150619    1.19484234    0.03455245    1.80578780    1.80578780
  -1.20873    0.77854395    1.28085399    0.04853210    1.82108724    1.82108712
  -1.18152    0.86313367    1.38366544    0.07485029    1.84709978    1.84709978
  -1.15431    0.96730381    1.51394403    0.11946996    1.88214874    1.88214862
  -1.12710    1.08264780    1.68398023    0.18276277    1.92187417    1.92187417
  -1.09988    1.18593514    1.90490758    0.25474656    1.96476793    1.96476793
  -1.07267    1.24688196    2.17861915    0.31814504    2.01600456    2.01600456
  -1.04546    1.24702787    2.48077917    0.35929585    2.08503866    2.08503866
  -1.01825    1.19293547    2.74603987    0.37681365    2.17878962    2.17878962
  -0.99104    1.10942900    2.88211441    0.37952444    2.29976678    2.29976702
  -0.96383    1.02046561    2.81905222    0.37760317    2.44762087    2.44762087
  -0.93662    0.93652844    2.55974698    0.37667525    2.61819458    2.61819434
